Ref;Localite;Pays;ID;Source;Sondes;StructureEn;StructureFr;Isolation;CombWood;CombBark;CombLeaves;CombStraw;CombGrass;CombReed;CombPalmFronds;CombPalmLeaves;CombPalmNuts;CombRiceHusks;CombMilletHusks;CombMilletStems;CombBalesSorghum;CombCornStalks;CombSawdust;CombCharcoal;CombKerozene;CombDung;NbPots;Diametre;Hauteur;Interruption;PostCuisson;Duree;TMin;TMoy;TMax;VChauffe;D700;D800;D900;D1000
1;Agotohui;Cameroun;OTO.07;Ceramic & Society;8;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;2;1;+;Sm;51;719;816;913;35;24;8;2;0
2;Bakipa;Cameroun;BAK.07;Ceramic & Society;5;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;1;0,6;+;Sp;21;746;829;884;64;13;6;0;0
3;Balgou Lesdi;Cameroun;BAL.01;Ceramic & Society;10;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;2,5;1;+;Sp;38;663;778;944;82;8;3;0;0
4;Boulko;Cameroun;BUL.01;Ceramic & Society ;4;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;2;1,2;+;0;48;567;677;749;19;11;0;0;0
5;Carrefour Po;Cameroun;POL.01;Ceramic & Society;6;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;2,5;1,3;+;Sp;22;645;755;817;36;7;0;0;0
6;Djagou;Cameroun;DJA.01-03;Ceramic & Society;5;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;2;0,9;+;Sp;42;727;810;879;32;18;5;0;0
7;Djongue;Cameroun;JON.01-03;Ceramic & Society;4;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;2;0,9;+;0;41;588;613;660;48;0;0;0;0
8;Katchala Vo;Cameroun;KAT.10;Ceramic & Society;10;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;2;0,8;+;Sp;40;725;795;840;23;13;3;0;0
9;Kpaladai;Cameroun;KPA.01-0;Ceramic & Society;8;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;6,5;1,8;+;Sp;24;705;796;878;62;9;3;0;0
10;Librou;Cameroun;LIB.01-04;Ceramic & Society;4;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0,6;+;Sp;34;521;644;744;70;1;0;0;0
11;Nigba;Cameroun;NBA.01;Ceramic & Society;4;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;2;0,8;+;Sm;21;672;728;799;130;4;0;0;0
12;Pate Petel;Cameroun;PET.01;Ceramic & Society;4;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;2,2;1;+;0;40;644;799;926;24;13;8;3;0
13;Toukte;Cameroun;OTE.01-0;Ceramic & Society;5;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;2,5;1;+;0;54;600;743;848;42;9;2;0;0
14;Mubuga;Burundi;-;Senasson 1992-93;1;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;Sp;15;0;800;0;114;3;0;0;0
15;Mubuga;Burundi;-;Senasson 1992-93;1;Bonefire;meule;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;+;Sp;20;0;703;0;64;1;0;0;0
16;Biamo;Cameroun;BIA.01;Gosselain 1995;3;Bonefire;meule;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;19;2;1,5;+;Sp;25(27);480;560;663;23;0;0;0;0
17;Goufan I;Cameroun;OUF.01;Gosselain 1995;5;Bonefire;meule;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;20;1,5;1;+;So;25;580;645;690;44;0;0;0;0
