Temp;PO2_mag2hem;PO2_wus2mag;PCO_mag2hem;PCO_wus2mag;PCO_fe2wus;PCO_fe2mag;PCO2_lime2cal;PCO2_boudouard;PCO_boudouard
298,15;1,53454181512807E-68;3,86896013426351E-93;0,000212565431923;99976,3836632279;667,703397276431;15921,2542870816;1,11819079433561E-18;100000;0
300;5,488726341242E-68;1,96235304401139E-92;0,0002218956352;99973,060656629;688,477694100631;15790,7106086035;1,74697460141094E-18;100000;0
400;2,14076614030047E-46;8,26406284435672E-65;0,007634370313703;99192,7300609408;3851,37657854502;22964,6573589429;1,04996786175024E-10;99999,9791383765;0,02086162349535
500;1,75161475620039E-33;3,2564026720411E-48;0,068562961308416;94083,3912416016;11216,652347953;29734,0350845853;4,43323173884707E-06;99996,1451706847;3,85482931529735
600;9,04672162780736E-25;3,34347363868585E-37;0,257448602614119;80897,266095263;21704,398246781;35402,4550458097;0,005375473423102;99876,4342236877;123,565776312295
700;1,5668411600865E-18;1,86263842378413E-29;0,662397419448624;65767,3444290983;33081,7143815841;40971,7624699559;0,814085163472588;98526,0016430866;1473,9983569134
800;8,43649020784282E-14;1,13098875008823E-23;1,26712695909248;52253,7040123568;44014,8821634349;46061,519847808;34,1036253696087;90867,4531313722;9132,54686862779
825;1,25014305124436E-10;6,29066677743929E-20;1,41552865690619;50524,2978242613;46095,4253913562;47192,3056768679;177,209298453586;84947,0562774754;15052,9437225246
850;2,49944245346793E-10;1,25802025661285E-19;1,56393035471991;48794,8916361657;48175,9686192775;48323,0915059279;320,314971537564;79026,6594235785;20973,3405764215
851,5625;2,57752366610691E-10;1,29732985529216E-19;1,57320546083327;48686,8037494097;48306,0025710226;48393,7656202441;329,259076105312;78656,63462021;21343,36537979
853,125;2,65560487874588E-10;1,33663945397146E-19;1,58248056694662;48578,7158626538;48436,0365227677;48464,4397345603;338,203180673061;78286,6098168414;21713,3901831586
854,6875;2,73368609138485E-10;1,37594905265077E-19;1,59175567305998;48470,6279758978;48566,0704745127;48535,1138488766;347,14728524081;77916,5850134729;22083,4149865272
856,25;2,81176730402383E-10;1,41525865133008E-19;1,60103077917334;48362,5400891418;48696,1044262578;48605,7879631928;356,091389808558;77546,5602101043;22453,4397898957
862,5;3,12409215457972E-10;1,57249704604731E-19;1,63813120362677;47930,1885421179;49216,2402332381;48888,4844204578;391,867808079553;76066,4609966301;23933,5390033699
868,75;3,43641700513561E-10;1,72973544076454E-19;1,6752316280802;47497,836995094;49736,3760402185;49171,1808777228;427,644226350547;74586,3617831559;25413,6382168441
875;3,74874185569151E-10;1,88697383548177E-19;1,71233205253363;47065,4854480701;50256,5118471988;49453,8773349878;463,420644621541;73106,2625696817;26893,7374303183
900;4,99804125791508E-10;2,51592741435069E-19;1,86073375034734;45336,0792599746;52337,0550751201;50584,6631640477;606,526317705519;67185,8657157848;32814,1342842152
1000;4,73283146496222E-07;6,86595170006263E-16;2,65502577568855;41075,6932544531;58924,3067455469;54498,269014316;5993,28980204157;30348,5471709622;69651,4528290378
1100;0,000134675325346;4,34988803207602E-13;3,43665898921985;37683,9414376329;63591,0335129181;57260,7274452219;38203,9077258388;8282,54267750816;91717,4573224918
1200;0,013791224996218;9,21693310774973E-11;4,43544150248165;35173,5688912099;67076,5874480559;59408,6210894499;175295,374808027;2024,47896809481;97975,5210319052
1300;0,66767586112461;8,72706795086237E-09;5,65905601535022;33110,9813989164;70081,9976320306;61363,3565719978;;560,974444435658;99439,0255555643
1400;17,9429897415428;4,38820240876146E-07;6,97324094824925;30840,4739845137;72356,8541913983;62709,5692921502;;188,192407836141;99811,8075921639
1500;331,517306708139;1,26741672119521E-05;8,02826037503701;29109,6424074271;74085,8809010243;63768,0631180457;;73,9007268748537;99926,0992731251
1600;4190,45915339039;0,000247760602002;9,21909483709849;27493,0371282744;75816,6024119528;64897,8191242264;;32,3345014521692;99967,6654985478
1700;37667,1111608449;;10,6391035607722;;;65881,0330687812;;15,5863219333696;99984,4136780666
1800;248128,116288601;;12,4112270216359;;;66558,0508579942;;8,256065484602;99991,7439345154
